@relation Converted_from_ACE_XML

@attribute Number_of_Pitches numeric
@attribute Number_of_Common_Pitches numeric
@attribute Range numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Pitch_Variability numeric
@attribute Pitch_Skewness numeric
@attribute Pitch_Kurtosis numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Vertical_Dissonance_Ratio numeric
@attribute Non-Standard_Chords numeric
@attribute Metrical_Diversity numeric
@attribute Mean_Rhythmic_Value numeric
@attribute Rhythmic_Value_Variability numeric
@attribute Complete_Rests_Fraction numeric
@attribute Rhythmic_Variability_-_Tempo_Standardized numeric
@attribute Polyrhythms_-_Tempo_Standardized numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Rhythmic_Variability numeric
@attribute Polyrhythms numeric
@attribute Number_of_Pitched_Instruments numeric
@attribute Number_of_Unpitched_Instruments numeric
@attribute Voice_Equality_-_Number_of_Notes numeric
@attribute Parallel_Motion numeric
@attribute Similar_Motion numeric
@attribute Contrary_Motion numeric
@attribute Oblique_Motion numeric
@attribute Average_Note_to_Note_Change_in_Dynamics numeric

@data
43.0, 3.0, 61.0, 3.0, 2.0, 15.22, -1.204, 6.099, 8.0, 0.3397, 0.0, 0.1148, 0.2344, 0.1914, 2.849, 0.1848, 0.2572, 2.0, 0.5704, 0.2712, 0.02857, 0.0327, 0.6, 12.3, 3.892, 50.0, 0.02949, 0.5, 1.0, 0.0, 273.7, 0.01793, 0.149, 0.4952, 0.3379, 1.113
43.0, 3.0, 48.0, 2.0, 3.0, 7.87, -0.0796, 5.892, 12.0, 0.5969, 0.1155, 0.07241, 0.1996, 0.177, 2.155, 0.1304, 0.2351, 3.0, 0.7105, 0.7057, 0.0, 0.03486, 0.6, 7.907, 8.529, 91.0, 0.0391, 0.5, 1.0, 0.0, 306.7, 0.07806, 0.116, 0.1118, 0.6941, 0.5384
45.0, 1.0, 71.0, 4.0, 2.0, 7.917, -0.09866, 7.139, 2.0, 0.2815, 0.01599, 0.2003, 0.5816, 0.487, 5.128, 0.3228, 3.503E-4, 3.0, 0.5094, 0.2387, 0.02117, 0.02798, 0.6, 15.93, 3.365, 125.0, 0.01889, 0.1, 1.0, 0.0, 21.92, 0.05751, 0.1928, 0.3994, 0.3504, 2.118
60.0, 0.0, 63.0, 7.0, 2.0, 14.43, 0.07455, 5.207, 2.0, 0.3039, 0.0221, 0.1934, 0.4972, 0.3446, 4.867, 0.1228, 0.2969, 3.0, 0.4645, 0.2998, 0.06216, 0.02385, 0.3, 14.33, 3.863, 90.0, 0.02729, 0.375, 1.0, 0.0, 142.8, 0.2299, 0.1317, 0.1722, 0.4662, 1.032
72.0, 0.0, 74.0, 5.0, 2.0, 15.91, -0.2064, 5.261, 1.0, 0.3188, 0.01869, 0.2731, 0.4247, 0.4053, 5.141, 0.3559, 0.407, 1.0, 0.3367, 0.3126, 0.1269, 0.02482, 0.2, 13.24, 3.791, 73.0, 0.02247, 0.1667, 1.0, 0.0, 337.1, 0.1174, 0.1326, 0.2174, 0.5326, 0.5523
40.0, 0.0, 44.0, 4.0, 2.0, 8.07, -0.2928, 6.213, 1.0, 0.1869, 0.01038, 0.4221, 0.7543, 0.479, 4.034, 0.28, 0.5715, 3.0, 0.7055, 0.6866, 0.0, 0.02161, 0.5, 7.209, 5.647, 108.0, 0.02329, 0.3333, 1.0, 0.0, 7.371, 0.2066, 0.3377, 0.1639, 0.2918, 1.068
32.0, 1.0, 39.0, 4.0, 2.0, 7.886, 0.09297, 5.613, 3.0, 0.5219, 0.1116, 0.1076, 0.2948, 0.3498, 4.191, 0.2613, 0.2, 3.0, 0.9486, 0.7086, 0.011, 0.03517, 0.6, 6.384, 2.284, 109.0, 0.0393, 0.25, 1.0, 0.0, 61.25, 0.05221, 0.1807, 0.1968, 0.5703, 2.341
41.0, 1.0, 55.0, 2.0, 1.0, 8.118, -0.4715, 8.676, 0.0, 0.6804, 0.5391, 0.1261, 0.2174, 0.4198, 2.706, 0.08469, 0.1722, 2.0, 0.6729, 0.8849, 0.0, 0.02772, 0.6, 5.926, 2.763, 63.0, 0.03859, 0.6667, 1.0, 0.0, 96.12, 0.1275, 0.1626, 0.211, 0.4989, 1.146
51.0, 0.0, 59.0, 6.0, 3.0, 14.32, -0.5236, 6.08, 1.0, 0.3, 0.1379, 0.1828, 0.3655, 0.552, 5.162, 0.21, 0.3228, 4.0, 0.9409, 0.7887, 0.0, 0.02658, 0.6, 3.116, 1.493, 70.0, 0.03367, 0.6667, 1.0, 0.0, 121.6, 0.2453, 0.04717, 0.01572, 0.6918, 0.9835
53.0, 0.0, 69.0, 6.0, 2.0, 12.41, 0.3047, 7.096, 2.0, 0.3239, 0.06809, 0.1877, 0.4981, 0.3267, 3.629, 0.2229, 0.2188, 2.0, 0.2622, 0.2791, 0.3993, 0.02386, 0.4, 16.78, 3.186, 58.0, 0.02499, 0.5, 1.0, 0.0, 294.2, 0.1277, 0.3734, 0.1402, 0.3588, 5.147
39.0, 0.0, 58.0, 3.0, 3.0, 9.543, -0.05505, 8.374, 8.0, 0.3707, 0.1078, 0.04741, 0.06034, 0.1256, 2.318, 0.2193, 0.2872, 3.0, 0.3389, 0.5865, 0.0, 0.02331, 0.375, 8.597, 4.516, 99.0, 0.03186, 0.4, 1.0, 0.0, 351.4, 0.2895, 0.3289, 0.2105, 0.1711, 1.548
